image_id,damage_whole,damage_pic,folds,warped,late_season_missing,damage_sub1,damage_sub2,damage_sub3
PIO-FH2-S,4,4,0,1,0,4,4,4
PIO-FH2-W,4,3,1,0,1,2,2,1
PIO-FH3-E,3,3,0,0,0,2,3,4
PIO-FH3-N,3,2,0,0,0,2,2,3
PIO-FH3-S,3,3,0,0,0,3,4,2
PIO-FH3-W,3,2,0,0,0,3,2,1
PIO-FH4-E,2,2,0,0,0,2,1,3
PIO-FH4-N,2,3,0,0,1,2,2,1
PIO-FH4-S,2,3,0,0,0,2,3,3
PIO-FH4-W,2,2,1,0,0,1,1,2
PIO-FH5-E,2,3,0,0,1,1,3,4
PIO-FH5-N,2,2,0,0,0,2,2,2
PIO-FH5-S,2,2,0,0,1,1,2,1
PIO-FH5-W,2,2,0,0,0,1,2,1
PIO-FH6-E,2,2,0,0,0,2,2,2
PIO-FH6-N,2,2,0,0,1,3,4,2
PIO-FH6-S,2,2,0,0,0,1,2,1
PIO-FH6-W,2,2,0,0,0,3,1,3
PIO-FH7-E,1,1,0,0,0,0,0,0
PIO-FH7-N,1,2,0,0,1,0,5,0
PIO-FH7-S,1,2,0,0,0,1,0,2
PIO-FH7-W,1,2,1,0,0,1,2,1
PIO-TH1-E,2,2,0,0,0,2,2,2
PIO-TH1-N,2,3,0,0,1,3,NA,2
PIO-TH1-S,2,2,0,0,0,1,2,2
PIO-TH1-W,2,3,0,0,0,2,3,NA
PIO-TH2-E,3,3,0,1,1,5,3,3
PIO-TH2-N,3,3,0,1,0,1,1,4
PIO-TH2-S,3,2,0,0,1,3,3,4
PIO-TH2-W,3,2,1,0,0,1,2,2
PIO-TH3-E,2,2,1,0,1,3,2,1
PIO-TH3-N,2,3,0,0,1,3,3,4
PIO-TH3-S,2,1,0,0,0,1,1,1
PIO-TH3-W,2,2,0,0,0,1,1,1
PIO-TH4-E,1,2,2,0,0,1,3,1
PIO-TH4-N,1,2,0,0,0,1,1,1
PIO-TH4-S,1,1,0,0,0,1,1,1
PIO-TH4-W,1,2,0,0,0,3,1,0
PIO-TH6-E,3,2,0,0,1,3,3,3
PIO-TH6-N,3,5,1,0,1,5,5,5
PIO-TH6-S,3,4,0,1,1,3,3,3
PIO-TH6-W,3,2,0,1,0,3,3,2
PIO-TH7-E,2,4,0,0,1,NA,NA,NA
PIO-TH7-N,2,2,0,0,1,2,2,1
PIO-TH7-S,2,2,0,0,0,3,2,1
PIO-TH7-W,2,2,1,0,0,1,2,3
